"en_name";"en_vote";"vote_general";"fr_name";"fr_vote";"it_name";"it_vote";"es_name";"es_vote";"de_name";"de_vote";"earliest_begin";"latest_begin";"earliest_end";"latest_end";"link_chronontology"
"Late Cycladic II";;"Uok";"Fin des Cyclades II";;"Tardo Cicladico II";;"Cicládica tardía II";;"Späte Kykladen II";;-1499;-1499;-1389;-1389;"http://chronontology.dainst.org/period/Kvm93w8NM460"
"Late Cycladic III";;"Uok";"Fin des Cyclades III";;"Tardo Cicladico III";;"Cicládica tardía III";;"Späte Kykladen III";;-1399;-1399;-1059;-1059;"http://chronontology.dainst.org/period/IBcJr64FBILU"
"Late Cypriot";;"Uok";"Chypriote tardif";;"Cipriota in ritardo";;"Chipriota tardío";;"Spätzypriotisch";;-1649;-1649;-1049;-1049;"http://chronontology.dainst.org/period/e2AWP4xsR0Ma"
"Late Cypriot I";;"Uok";"Chypriote tardif I";;"Tardo cipriota I";;"Chipriota tardío I";;"Spätzypriotisch I.";;-1649;-1649;-1474;-1474;"http://chronontology.dainst.org/period/sWoyTBO92gyc"
"Late Cypriot IA";;"Uok";"IA chypriote tardive";;"Tardo cipriota IA";;"Chipriota tardío IA";;"Spätzypriotische IA";;-1649;-1649;-1574;-1574;"http://chronontology.dainst.org/period/yh1GRKvdg0oL"
"Late Cypriot IB";;"Uok";"IB chypriote tardif";;"Tardo cipriota IB";;"IB chipriota tardío";;"Spätzypriotischer IB";;-1640;-1540;-1400;-1400;"http://chronontology.dainst.org/period/7cQdjeuynInj"
"Late Cypriot II";;"Uok";"Fin chypriote II";;"Tardo cipriota II";;"Chipriota tardío II";;"Spätzypriotisch II";;-1474;-1474;-1224;-1224;"http://chronontology.dainst.org/period/l8uHuR61tCaO"
"Late Cypriot II A-B";;"Uok";"Late Cypriot II AB";;"Tardo cipriota II AB";;"Chipriota tardío II AB";;"Spätzypriotisch II AB";;-1450;-1450;-1325;-1325;"http://chronontology.dainst.org/period/Iw1HytUg8M30"
"Late Cypriot II C";;"Uok";"Cypriote supérieur II C";;"Tardo cipriota II C";;"Chipriota tardío II C";;"Spätzypriotisch II C.";;-1325;-1325;-1200;-1200;"http://chronontology.dainst.org/period/rGkOXqMkEY77"
"Late Cypriot II-Late Cypriot III";;"Uok";"Cypriote supérieur II-Cypriote supérieur III";;"Fine cipriota II-fine cipriota III";;"Chipriota tardío II-chipriota tardío III";;"Spätzypriotisch II-Spätzypriotisch III";;-1449;-1449;-1049;-1049;"http://chronontology.dainst.org/period/g1PRUaqFddeX"
"Late Cypriot IIA";;"Uok";"Fin chypriote IIA";;"Tardo cipriota IIA";;"Chipriota tardío IIA";;"Spätzypriotische IIA";;-1400;-1400;-1300;-1300;"http://chronontology.dainst.org/period/2PVHJ87Y3rTD"
"Late Cypriot IIB";;"Uok";"Fin chypriote IIB";;"Tardo cipriota IIB";;"Chipriota tardío IIB";;"Spätzypriotisches IIB";;-1399;-1399;-1324;-1324;"http://chronontology.dainst.org/period/Ya9nU7aqa5Yt"
"Late Cypriot IIC";;"Uok";"IIC chypriote tardif";;"Tardo cipriota IIC";;"CIC chipriota tardío";;"Spätzypriotisches IIC";;-1324;-1324;-1224;-1224;"http://chronontology.dainst.org/period/foI8QlwAvwTw"
"Late Cypriot III";;"Uok";"Fin chypriote III";;"Tardo cipriota III";;"Chipriota tardío III";;"Spätzypriotisch III";;-1224;-1224;-1049;-1049;"http://chronontology.dainst.org/period/R5EhwtEVAXTi"
"Late Cypriot III B";;"Uok";"Cypriote supérieur III B";;"Tardo cipriota III B";;"Chipriota tardío III B";;"Spätzypriotisch III B.";;-1125;-1100;-1050;-1050;"http://chronontology.dainst.org/period/WZZBTBEv2d7L"
"Late Cypriot IIIA";;"Uok";"Fin de Chypre IIIA";;"Tardo cipriota IIIA";;"Chipriota tardío IIIA";;"Spätzypriotisches IIIA";;-1200;-1150;-1150;-1100;"http://chronontology.dainst.org/period/BteOtJkiOhiJ"
"Late Cypriot IIIB";;"Uok";"Fin chypriote IIIB";;"Tardo cipriota IIIB";;"Chipriota tardío IIIB";;"Spätzypriotisches IIIB";;-1189;-1189;-1149;-1149;"http://chronontology.dainst.org/period/5yRsVf5nnWV4"
"Late Cypriot IIIC";;"Uok";"Cypriote IIIC tardif";;"Tardo cipriota IIIC";;"Chipriota tardío IIIC";;"Spätzypriotisches IIIC";;-1149;-1149;-1049;-1049;"http://chronontology.dainst.org/period/YYQJGeGMds0V"
"Late Cypriot-Archaic";;"Uok";"Cypriote-archaïque tardif";;"Tardo cipriota-arcaico";;"Chipriota-arcaico tardío";;"Spätzypriotisch-archaisch";;-1649;-1649;-474;-474;"http://chronontology.dainst.org/period/1zkuJ20JhqPS"
"Late Cypriot-Hellenistic";;"Uok";"Chypriote-hellénistique tardif";;"Tardo cipriota-ellenistico";;"Helenista chipriota tardío";;"Spätzypriotisch-hellenistisch";;-1649;-1649;-99;-99;"http://chronontology.dainst.org/period/A2ByZnNK66Vd"
"Late Cypriot-Modern Present";;"Uok";"Présent chypriote-moderne";;"Presente moderno cipriota";;"Presente chipriota-moderno tardío";;"Spätzypriotisch-moderne Gegenwart";;-1649;-1649;2008;2008;"http://chronontology.dainst.org/period/pVmJ8Fnx1nZ8"
"Late Cypriot-Roman";;"Uok";"Romain chypriote tardif";;"Tardo romano-cipriota";;"Romano chipriota tardío";;"Spätzypriotisch-römisch";;-1649;-1649;749;749;"http://chronontology.dainst.org/period/3RmQI9j8NX4g"
"Late Cypriote";;"Uok";"Cypriote tardif";;"Cypriote in ritardo";;"Chipriota tardío";;"Spätzypriot";;-1600;-1600;-1050;-1050;"http://chronontology.dainst.org/period/UrjLlWKrbj0M"
"Late Cypro-Pre-Pottery Neolithic B";;"Uok";"Cypro-pré-poterie néolithique B";;"Neolitico Cypro-Pre-Pottery Neolitico B";;"Cypro-Pre-Pottery Neolítico Tardío B";;"Spätes Cypro-Pre-Pottery Neolithikum B.";;-6550;-6550;-6050;-6050;"http://chronontology.dainst.org/period/SdtwNVGlEtNw"
"Late Dark Age";;"Uok";"Âge sombre tardif";;"Tarda età oscura";;"Edad Media Tardía";;"Spätes dunkles Zeitalter";;-1049;-1049;-899;-899;"http://chronontology.dainst.org/period/YhccZ6CO37SE"
"Late Devonian";;"Uok";"Dévonien tardif";;"Tardo Devoniano";;"Devónico tardío";;"Spätes Devon";;-382700000;-382700000;-358900000;-358900000;"http://chronontology.dainst.org/period/WzcMfdX9rr3E"
"Late Dilmun";;"Uok";"Late Dilmun";;"Dilmun in ritardo";;"Dilmun tardío";;"Später Dilmun";;-1250;-1250;-500;-500;"http://chronontology.dainst.org/period/a7ci9sDIac70"
"Late Early Medieval";;"Uok";"Fin du début du Moyen Âge";;"Tardo Medioevo";;"Medievales Tempranos Tempranos";;"Spätes Frühmittelalter";;851;851;1066;1066;"http://chronontology.dainst.org/period/r2smw7EqZFGD"
"late Early Woodland";;"Uok";"fin des premiers boisés";;"fine Early Woodland";;"finales del bosque temprano";;"spätes frühes Waldland";;-800;-800;-200;-200;"http://chronontology.dainst.org/period/gXK23ap6Jlkz"
"Late Edo";;"Uok";"Late Edo";;"Edo in ritardo";;"Edo tardío";;"Später Edo";;1789;1789;1868;1868;"http://chronontology.dainst.org/period/m17bIcMlhd4C"
"Late Empire";;"Uok";"Late Empire";;"Tardo Impero";;"Imperio tardío";;"Spätes Reich";;192;192;476;476;"http://chronontology.dainst.org/period/yhCXbLplPSKb"
"Late Eneolithic";;"Uok";"Énéolithique tardif";;"Eneolitico tardivo";;"Eneolítico Tardío";;"Spätneolithikum";;-4400;-4400;-3801;-3801;"http://chronontology.dainst.org/period/YdBIk9zD3ApB"
"Late Epipaleolithic";;"Uok";"Épipaléolithique tardif";;"Epipaleolitico tardo";;"Epipaleolítico tardío";;"Spätepipaleolithikum";;-14900;-14900;-11800;-11800;"http://chronontology.dainst.org/period/aRPRt12vYluP"
"Late Etruscan";;"Uok";"Étrusque tardif";;"Tardo etrusco";;"Etrusco tardío";;"Spätes Etruskisch";;-400;-400;-50;-50;"http://chronontology.dainst.org/period/XsVjFRaKN41H"
"Late Formative";;"Uok";"Formateur tardif";;"Late Formative";;"Formativo tardío";;"Spät formativ";;-299;-299;1;1;"http://chronontology.dainst.org/period/CrToT1aYM8jp"
"Late geometric";;"Uok";"Géométrique tardif";;"Geometrico tardivo";;"Geométrico tardío";;"Spät geometrisch";;-750;-750;-700;-680;"http://chronontology.dainst.org/period/3Y47oKS1Pg8L"
"Late Geometric";;"Uok";"Géométrique tardif";;"Geometrico tardivo";;"Geometría tardía";;"Spätgeometrisch";;-759;-759;-699;-699;"http://chronontology.dainst.org/period/OtOQq2KsfNqg"
"Late Geometric I";;"Uok";"Géométrique tardif I";;"Geometrico tardivo I";;"Geometría tardía I";;"Spätgeometrisch I.";;-760;-760;-735;-735;"http://chronontology.dainst.org/period/bZ5LZtexlzaY"
"Late Geometric I A";;"Uok";"IA géométrique tardive";;"IA tardiva geometrica";;"IA geométrica tardía";;"Späte geometrische IA";;-760;-760;-750;-750;"http://chronontology.dainst.org/period/RecLptGLm0O3"
"Late Geometric I B";;"Uok";"IB géométrique tardif";;"IB geometrico tardivo";;"IB geométrico tardío";;"Späte geometrische IB";;-750;-750;-735;-735;"http://chronontology.dainst.org/period/g2j1npCU5v10"
"Late Geometric II";;"Uok";"Late Geometric II";;"Late Geometric II";;"Geometría tardía II";;"Spätgeometrisch II";;-735;-735;-700;-700;"http://chronontology.dainst.org/period/i5zdSCKMo7Z5"
"Late Geometric II A";;"Uok";"Géométrique tardif II A";;"Geometria tardiva II A";;"Geometría tardía II A";;"Späte Geometrie II A.";;-735;-735;-720;-720;"http://chronontology.dainst.org/period/C53h3E52bUmT"
"Late Geometric II B";;"Uok";"Géométrique tardif II B";;"Geometria tardiva II B";;"Geométrica tardía II B";;"Spätgeometrisch II B.";;-720;-720;-700;-700;"http://chronontology.dainst.org/period/3HfDRxgQ5U2g"
"Late Germanic Iron Age";;"Uok";"Âge du fer germanique tardif";;"Tarda età del ferro germanico";;"Edad de hierro germánica tardía";;"Spätgermanische Eisenzeit";;600;600;750;750;"http://chronontology.dainst.org/period/pgJleX7iauDk"
"Late Gulf Formational";;"Uok";"Formation du golfe tardif";;"Formativo del tardo Golfo";;"Golfo tardío formacional";;"Späte Golfformation";;-500;-500;-100;-100;"http://chronontology.dainst.org/period/IeKWgfpqd5Hm"
"Late Haftavan Period VIB";;"Uok";"Fin de la période Haftavan VIB";;"Tardo periodo di Haftavan VIB";;"Período tardío de Haftavan VIB";;"Späte Haftavan-Periode VIB";;-1549;-1549;-1449;-1449;"http://chronontology.dainst.org/period/Flbsd4OJBHRh"
"Late Halaf";;"Uok";"Halaf tardif";;"Late Halaf";;"Halaf tardío";;"Später Halaf";;-5400;-5400;-5100;-5100;"http://chronontology.dainst.org/period/3EVUcR6M7NQX"
"Late Hassuna";;"Uok";"Hassuna tardif";;"Late Hassuna";;"Hassuna tardío";;"Später Hassuna";;-5800;-5800;-5400;-5400;"http://chronontology.dainst.org/period/WdoNdiiJDaQs"
"Late Heian";;"Uok";"Heian tardif";;"Tardo Heian";;"Heian tardío";;"Später Heian";;898;898;1185;1185;"http://chronontology.dainst.org/period/UdApEntW44Nm"
"Late Helladic";;"Uok";"Helladique tardif";;"Late Helladic";;"Helladic tardía";;"Spätes Helladic";;-1600;-1600;-1050;-1050;"http://chronontology.dainst.org/period/LcSyqjU87YI7"
"Late Helladic I";;"Uok";"Helladique tardif I";;"Tardo Helladic I";;"Helladic Tardío I";;"Spätes Helladic I.";;-1700;-1675;-1635;-1600;"http://chronontology.dainst.org/period/3i1UvjawzQ73"
"Late Helladic II";;"Uok";"Helladic II tardif";;"Late Helladic II";;"Helladic II tardío";;"Spätes Helladic II";;-1599;-1599;-1399;-1399;"http://chronontology.dainst.org/period/NrUt2Af83zfH"
"Late Helladic II A";;"Uok";"Helladic II tardif A";;"Late Helladic II A";;"Helladic Tardío II A";;"Spätes Helladic II A.";;-1635;-1600;-1480;-1470;"http://chronontology.dainst.org/period/8dQbYJGyFrUw"
"Late Helladic II B";;"Uok";"Helladic II B tardif";;"Tardo Helladic II B";;"Helladic II II B";;"Spätes Helladic II B.";;-1480;-1470;-1420;-1410;"http://chronontology.dainst.org/period/OmLwJwy7CuKS"
"Late Helladic IIA";;"Uok";"Helladique supérieur IIA";;"IIA tardo elladica";;"Helladic IIA tardío";;"Spätes Helladic IIA";;-1499;-1499;-1449;-1449;"http://chronontology.dainst.org/period/sZeRL9sVTbLK"
"Late Helladic IIB";;"Uok";"Helladique supérieur IIB";;"Tardo Helladic IIB";;"Helladic IIB tardío";;"Spätes Helladic IIB";;-1449;-1449;-1399;-1399;"http://chronontology.dainst.org/period/BiuH0slrs4D3"
"Late Helladic III";;"Uok";"Helladic III tardif";;"Tardo Helladic III";;"Helladic III tardío";;"Spätes Helladic III";;-1399;-1399;-1059;-1059;"http://chronontology.dainst.org/period/NoukXvipnDMm"
"Late Helladic III A 1";;"Uok";"Helladique tardif III A 1";;"Late Helladic III A 1";;"Helladic III III A 1";;"Spätes Helladic III A 1";;-1420;-1410;-1390;-1370;"http://chronontology.dainst.org/period/GZrnbuJSY6yV"
"Late Helladic III A 2";;"Uok";"Helladic III A 2 tardif";;"Tardo Helladic III A 2";;"Helladic Tardío III A 2";;"Spätes Helladic III A 2";;-1390;-1370;-1330;-1315;"http://chronontology.dainst.org/period/NUh7uOh17QQb"
"Late Helladic III B";;"Uok";"Helladic III B tardif";;"Tardo Helladic III B";;"Helladic III III B";;"Spätes Helladic III B.";;-1330;-1315;-1200;-1190;"http://chronontology.dainst.org/period/anG2pmK0097C"
"Late Helladic III C";;"Uok";"Helladique supérieur III C";;"Tardo Helladic III C";;"Helladic Tardío III C";;"Spätes Helladic III C.";;-1200;-1190;-1075;-1050;"http://chronontology.dainst.org/period/z2paLntWaKJm"
"Late Helladic IIIA";;"Uok";"Helladic IIIA tardif";;"Tardo Helladic IIIA";;"Helladic IIIA tardío";;"Spätes Helladic IIIA";;-1399;-1399;-1299;-1299;"http://chronontology.dainst.org/period/XLtVlmsi1uL2"
"Late Helladic IIIA1";;"Uok";"Helladique supérieur IIIA1";;"Tardo Helladic IIIA1";;"Helladic Tardío IIIA1";;"Spätes Helladic IIIA1";;-1399;-1399;-1369;-1369;"http://chronontology.dainst.org/period/PfSZmpEmQUlq"
"Late Helladic IIIA2";;"Uok";"Helladique supérieur IIIA2";;"Tardo Helladic IIIA2";;"Helladic IIIA2 tardío";;"Spätes Helladic IIIA2";;-1374;-1374;-1299;-1299;"http://chronontology.dainst.org/period/0zfZmVABNcrl"
"Late Helladic IIIB";;"Uok";"Helladique supérieur IIIB";;"Late Helladic IIIB";;"Helladic IIIB tardío";;"Spätes Helladic IIIB";;-1339;-1339;-1184;-1184;"http://chronontology.dainst.org/period/LXOzcDCcQLt3"
"Late Helladic IIIB1";;"Uok";"Helladique supérieur IIIB1";;"Late Helladic IIIB1";;"Helladic IIIB1 tardío";;"Spätes Helladic IIIB1";;-1299;-1299;-1249;-1249;"http://chronontology.dainst.org/period/8P2hwmYkTbyf"
"Late Helladic IIIB2";;"Uok";"Helladique supérieur IIIB2";;"Late Helladic IIIB2";;"Helladic IIIB2 tardío";;"Spätes Helladic IIIB2";;-1249;-1249;-1199;-1199;"http://chronontology.dainst.org/period/P2BD8Cy5CyZz"
"Late Helladic IIIC";;"Uok";"Helladic IIIC tardif";;"Late Helladic IIIC";;"Helladic IIIC tardío";;"Spätes helladisches IIIC";;-1199;-1199;-1059;-1059;"http://chronontology.dainst.org/period/PpLwopTXWjJm"
"Late Hellenistic";;"Uok";"Hellénistique tardive";;"Tardo ellenistico";;"Helenístico tardío";;"Späthellenistisch";;-200;-200;-63;-63;"http://chronontology.dainst.org/period/RGoEAk5hCFd9"
"Late Hellenistic Period";;"Uok";"Période hellénistique tardive";;"Tardo periodo ellenistico";;"Período helenístico tardío";;"Späthellenistische Zeit";;-200;-200;-63;-63;"http://chronontology.dainst.org/period/RGoEAk5hCFd9"
"Late Horizon";;"Uok";"Late Horizon";;"Late Horizon";;"Horizonte tardío";;"Später Horizont";;1476;1476;1534;1534;"http://chronontology.dainst.org/period/KjFxK2Ly0y1S"
"Late Imperial";;"Uok";"Impérial tardif";;"Tardo imperiale";;"Imperial tardío";;"Spätkaiser";;300;300;565;565;"http://chronontology.dainst.org/period/7lHpoCLWUeXJ"
"Late Intermediate Period";;"Uok";"Période intermédiaire tardive";;"Periodo intermedio tardivo";;"Período intermedio tardío";;"Späte Zwischenzeit";;1000;1000;1450;1450;"http://chronontology.dainst.org/period/ehkDFk4yhZHh"
"Late Iron age";;"Uok";"Âge du fer tardif";;"Tarda età del ferro";;"Edad de hierro tardía";;"Späteisenzeit";;-450;-450;-50;-50;"http://chronontology.dainst.org/period/1uY0BJplA2vs"
"Late Iron Age";;"Uok";"Âge du fer tardif";;"Tarda età del ferro";;"Edad de hierro tardía";;"Späteisenzeit";;-509;-509;476;476;"http://chronontology.dainst.org/period/NCCqndwWJgEv"
"Late Jōmon";;"Uok";"Late Jōmon";;"Late Jōmon";;"Jōmon tardío";;"Später Jōmon";;-2500;-2500;-1000;-1000;"http://chronontology.dainst.org/period/4ik4HDR4VmuV"
"Late Jurassic";;"Uok";"Jurassique supérieur";;"Giurassico tardo";;"Jurásico tardío";;"Spätjura";;-163500000;-163500000;-145000000;-145000000;"http://chronontology.dainst.org/period/0Ywq4FFkDMEX"
"Late Kaftari";;"Uok";"Kaftari tardif";;"Kaftari in ritardo";;"Kaftari tardío";;"Später Kaftari";;-1799;-1799;-1599;-1599;"http://chronontology.dainst.org/period/865F8S3axABO"
"Late Kamakura";;"Uok";"Kamakura tardif";;"Tardo Kamakura";;"Kamakura tarde";;"Späte Kamakura";;1300;1300;1333;1333;"http://chronontology.dainst.org/period/xCFj6jZTWWln"
"Late La Tène";;"Uok";"Late La Tène";;"Late La Tène";;"Late La Tène";;"Spätes La Tene";;-299;-299;50;50;"http://chronontology.dainst.org/period/bCZbPYOj7zSm"
"late Late Woodland";;"Uok";"fin des bois tardifs";;"Late Late Woodland";;"finales del bosque tardío";;"spätes spätes Waldland";;750;750;1000;1000;"http://chronontology.dainst.org/period/nH14Hz03yYCN"
"Late Lydian";;"Uok";"Lydien tardif";;"Late Lydian";;"Lydian tardío";;"Spätes Lydian";;-546;-546;-333;-333;"http://chronontology.dainst.org/period/ttT2jGSyrFIk"
"Late Maglemosian";;"Uok";"Maglémosien tardif";;"Tardo Maglemosiano";;"Maglemosiano Tardío";;"Später Maglemosianer";;-9000;-9000;-7800;-7800;"http://chronontology.dainst.org/period/UlfAWEtOOlU4"
"Late MB IIA";;"Uok";"Fin MB IIA";;"MB in ritardo IIA";;"MB IIA tardío";;"Später MB IIA";;-1875;-1875;-1825;-1825;"http://chronontology.dainst.org/period/p5ULF67mtcCD"
"Late MB IIB";;"Uok";"Fin MB IIB";;"Tardo MB IIB";;"Finales MB IIB";;"Später MB IIB";;-1725;-1725;-1675;-1675;"http://chronontology.dainst.org/period/pA7gK2L4gfbD"
"Late MB IIC";;"Uok";"Dernier MB IIC";;"MB in ritardo IIC";;"Late MB IIC";;"Später MB IIC";;-1575;-1575;-1525;-1525;"http://chronontology.dainst.org/period/nPNIqUB58DzB"
"Late Medieval";;"Uok";"Fin médiévale";;"Tardo medievale";;"Medieval tardío";;"Spätmittelalter";;1050;1050;1500;1500;"http://chronontology.dainst.org/period/lE7B1MetfyRD"
"Late Medieval A";;"Uok";"Fin médiévale A";;"Tardo Medioevo A";;"Medieval tardío A";;"Spätmittelalter A.";;1050;1050;1249;1249;"http://chronontology.dainst.org/period/aGFGNHoMGJdQ"
"Late Medieval B";;"Uok";"Fin médiévale B";;"Late Medieval B";;"Medieval tardío B";;"Spätmittelalterliches B.";;1250;1250;1499;1499;"http://chronontology.dainst.org/period/a5Mg507pDUd4"
"Late Medieval Period";;"Uok";"Période médiévale tardive";;"Tardo Medioevo";;"Periodo medieval tardío";;"Spätmittelalter";;1000;1000;1396;1396;"http://chronontology.dainst.org/period/7FdQrwDufKrn"
"Late Medieval-Ottoman";;"Uok";"Fin médiévale-ottomane";;"Tardo Medioevo-Ottomano";;"Otomano medieval tardío";;"Spätmittelalterlich-osmanisch";;1191;1191;1877;1877;"http://chronontology.dainst.org/period/GNyneGNzz9qV"
"Late Mesolithic";;"Uok";"Mésolithique supérieur";;"Mesolitico tardivo";;"Mesolítico Tardío";;"Spätmesolithikum";;-7000;-7000;-4000;-4000;"http://chronontology.dainst.org/period/T7f3g6hPpuRH"
"Late Middle Ages";;"Uok";"Fin du Moyen Âge";;"Tardo medioevo";;"Baja Edad Media";;"Spätmittelalter";;1050;1050;1500;1500;"http://chronontology.dainst.org/period/Fl0kmYJHObGx"
"Late Middle Ages A";;"Uok";"Fin du Moyen Âge A";;"Tardo Medioevo A";;"Baja Edad Media A";;"Spätmittelalter A.";;1050;1050;1250;1250;"http://chronontology.dainst.org/period/zNoqPUrXe2gJ"
"Late Middle Ages B";;"Uok";"Fin du Moyen Âge B";;"Tardo Medioevo B";;"Baja Edad Media B";;"Spätmittelalter B.";;1250;1250;1500;1500;"http://chronontology.dainst.org/period/tXLd4S0qrrlS"
"late Middle Woodland";;"Uok";"fin des bois moyens";;"Woodland tardo medio";;"Bosque medio tardío";;"spätes mittleres Waldland";;50;50;300;300;"http://chronontology.dainst.org/period/GnRMbAcSEK9h"
"Late Minoan";;"Uok";"Minoen tardif";;"Tardo Minoico";;"Minoico tardío";;"Spätminoisch";;-1599;-1599;-1079;-1079;"http://chronontology.dainst.org/period/Ia2qyRPokTKK"
"Late Minoan I";;"Uok";"Minoan tardif I";;"Tardo Minoico I";;"Minoan Tardío I";;"Spätminoisch I.";;-1675;-1675;-1460;-1460;"http://chronontology.dainst.org/period/Ggh6F2OLrBJd"
"Late Minoan I Period";;"Uok";"Période minoenne tardive I";;"Periodo tardo minoico I.";;"Periodo minoico I tardío";;"Spätminoische I-Periode";;-1675;-1675;-1461;-1461;"http://chronontology.dainst.org/period/h7vqhvfGRRHm"
"Late Minoan IA";;"Uok";"Minoan tardif IA";;"Tardo Minoico IA";;"Minoan tardío IA";;"Spätminoische IA";;-1599;-1599;-1499;-1499;"http://chronontology.dainst.org/period/NZpSurr0PGw8"
"Late Minoan IB";;"Uok";"Late Minoan IB";;"Tardo Minoico IB";;"Minoan IB tardío";;"Spätminoischer IB";;-1499;-1499;-1424;-1424;"http://chronontology.dainst.org/period/zKxEgCZAMote"
"Late Minoan II";;"Uok";"Minoen tardif II";;"Tardo Minoico II";;"Minoan tardío II";;"Spätminoisch II";;-1460;-1460;-1410;-1410;"http://chronontology.dainst.org/period/ZpocwkvytUpd"
"Late Minoan II Period";;"Uok";"Fin de la période minoenne II";;"Periodo tardo minoico II";;"Minoan II tardío";;"Spätminoische II. Periode";;-1460;-1460;-1411;-1411;"http://chronontology.dainst.org/period/vrwHdH9uYikY"
"Late Minoan III";;"Uok";"Minoen tardif III";;"Tardo Minoico III";;"Tarde Minoan III";;"Spätminoisch III";;-1410;-1410;-1050;-1050;"http://chronontology.dainst.org/period/P5Z5GW8eOMbY"
"Late Minoan III A 1";;"Uok";"Minoen tardif III A 1";;"Tardo Minoico III A 1";;"Tarde Minoan III A 1";;"Spätminoisch III A 1";;-1410;-1410;-1370;-1370;"http://chronontology.dainst.org/period/XVMa04OzqkyP"
"Late Minoan III A 2";;"Uok";"Minoen tardif III A 2";;"Tardo Minoico III A 2";;"Tarde Minoan III A 2";;"Spätminoisch III A 2";;-1370;-1370;-1315;-1315;"http://chronontology.dainst.org/period/eRjJwJeWpOhx"
"Late Minoan III B";;"Uok";"Minoen tardif III B";;"Tardo Minoico III B";;"Minoan Tardío III B";;"Spätminoisch III B.";;-1315;-1315;-1190;-1190;"http://chronontology.dainst.org/period/CwQTWp2KJdpr"
"Late Minoan III Period";;"Uok";"Fin de la période minoenne III";;"Periodo tardo minoico III";;"Minoan III tardío";;"Spätminoische III. Periode";;-1410;-1410;-1051;-1051;"http://chronontology.dainst.org/period/G0A6uqXKiP8n"
"Late Minoan IIIA";;"Uok";"Minoen tardif IIIA";;"Tardo Minoico IIIA";;"Minoan tardío IIIA";;"Spätminoisches IIIA";;-1399;-1399;-1299;-1299;"http://chronontology.dainst.org/period/Z4gof3egNNiY"
"Late Minoan IIIA1";;"Uok";"Minoen tardif IIIA1";;"Tardo Minoico IIIA1";;"Minoan tardío IIIA1";;"Spätminoisch IIIA1";;-1389;-1389;-1359;-1359;"http://chronontology.dainst.org/period/iQMghgapBLTd"
"Late Minoan IIIA2";;"Uok";"Minoen tardif IIIA2";;"Tardo Minoico IIIA2";;"Minoan tardío IIIA2";;"Spätminoisch IIIA2";;-1374;-1374;-1299;-1299;"http://chronontology.dainst.org/period/KtPBEtnXTdsw"
"Late Minoan IIIB";;"Uok";"Minoen tardif IIIB";;"Tardo Minoico IIIB";;"Minoan Tardío IIIB";;"Spätminoisch IIIB";;-1299;-1299;-1189;-1189;"http://chronontology.dainst.org/period/6uAiecfCjU7O"
"Late Minoan IIIB1";;"Uok";"Minoen tardif IIIB1";;"Tardo Minoico IIIB1";;"Minoan tardío IIIB1";;"Spätminoisch IIIB1";;-1299;-1299;-1249;-1249;"http://chronontology.dainst.org/period/l4fM67Lf7bsa"
"Late Minoan IIIB2";;"Uok";"Minoen tardif IIIB2";;"Tardo Minoico IIIB2";;"Minoan tardío IIIB2";;"Spätminoisch IIIB2";;-1249;-1249;-1199;-1199;"http://chronontology.dainst.org/period/Fw7OJB63TtFq"
"Late Minoan IIIC";;"Uok";"Minoen tardif IIIC";;"Tardo Minoico IIIC";;"Minoan tardío IIIC";;"Spätminoisches IIIC";;-1199;-1199;-1059;-1059;"http://chronontology.dainst.org/period/wWNOmfiKSqfq"
"Late Minoan Period";;"Uok";"Période minoenne tardive";;"Periodo tardo minoico";;"Periodo minoico tardío";;"Spätminoische Zeit";;-1675;-1675;-1051;-1051;"http://chronontology.dainst.org/period/IVLUgBIX3Z4a"
"Late Mississippian";;"Uok";"Mississippien tardif";;"Tardo Mississippiano";;"Mississippian tardío";;"Später Mississippianer";;-330900000;-330900000;-323200000;-323200000;"http://chronontology.dainst.org/period/KDyvTSxRgZE3"
"Late Modern Age";;"Uok";"Fin de l'ère moderne";;"Tarda età moderna";;"Edad moderna tardía";;"Spätmoderne";;1867;1867;2000;2000;"http://chronontology.dainst.org/period/BtyXKar0QgTJ"
"Late Modern period";;"Uok";"Période moderne tardive";;"Periodo tardo moderno";;"Período moderno tardío";;"Spätneuzeit";;1850;1850;1944;1944;"http://chronontology.dainst.org/period/cnXLaEIYzpSs"
"Late Mycenaean";;"Uok";"Mycénien tardif";;"Miceneo tardivo";;"Micénico tardío";;"Spätmykenisch";;-1400;-1400;-1100;-1100;"http://chronontology.dainst.org/period/etfLhNF0LtBT"
"Late Naqada II";;"Uok";"Fin Naqada II";;"Tarda Naqada II";;"Naqada II tardío";;"Späte Naqada II";;-3399;-3399;-3299;-3299;"http://chronontology.dainst.org/period/8uG3I7PPxUdx"
"Late Nara";;"Uok";"Nara tardive";;"Tarda Nara";;"Tarde nara";;"Späte Nara";;756;756;784;784;"http://chronontology.dainst.org/period/Xacnt05nLrcY"
"Late Natufian";;"Uok";"Natufien tardif";;"Tardo Natufian";;"Natufian tardío";;"Später Natufian";;-11500;-11500;-10000;-10000;"http://chronontology.dainst.org/period/gmt443OzzFKK"
"Late Neolithic";;"Uok";"Néolithique tardif";;"Neolitico tardo";;"Neolítico tardío";;"Spätneolithikum";;-4500;-4500;-2201;-2201;"http://chronontology.dainst.org/period/MFbxmRX1KWFE"
